,white_tfidf,bad_tfidf,dept_tfidf,tools_tfidf,white_cate_app_num,white_cate/all,bad_cate_app_num,bad_cate/all,dept_cate_app_num,dept_cate/all,tools_cate_app_num,tools_cate/all,origin_tfidf,uid
977,0.28743871936562376,0.4704979985053099,0.19903328520317395,0.34094731270971196,0,0.0,0,0.0,1,0.006097560975609756,0,0.0,0.024047905983752425,2237376569682
978,0.3819689106773673,0.3298579580388014,0.07875236564086432,0.3524592705504519,0,0.0,0,0.0,5,0.02403846153846154,0,0.0,5.6577225828621276e-05,2237542409813
979,0.19726891711248026,0.24964002195475904,0.3326444362867679,0.262573031535629,0,0.0,0,0.0,4,0.025477707006369428,0,0.0,0.02054426784821747,2237540267789
980,0.4801827127194529,0.24964002195475904,0.360655384608552,0.29920483121137,0,0.0,0,0.0,2,0.0136986301369863,0,0.0,0.956143255579848,2237543025795
981,0.3788323241861456,0.36432520124945933,0.370465121745798,0.2698843137318899,0,0.0,0,0.0,1,0.005076142131979695,0,0.0,0.13503144921855684,2237543398534
982,0.21009846234700605,0.24964002195475904,0.13959821424931487,0.24014780165552554,0,0.0,0,0.0,1,0.009174311926605505,0,0.0,1.6670740353362446e-05,2237462243856
983,0.26041623816913484,0.4076561009188304,0.5569519592411326,0.2738921204773816,0,0.0,0,0.0,1,0.005952380952380952,0,0.0,0.9992838343408166,2237541100334
984,0.2122209280142586,0.2520867117226638,0.3144929480776988,0.2265548351551093,0,0.0,0,0.0,2,0.014084507042253518,0,0.0,0.07351055547467628,2237545486458
985,0.30267365593284473,0.38716128035103453,0.5276732061908201,0.4708225863011797,0,0.0,0,0.0,2,0.0125,0,0.0,0.5720825426304534,2237544784724
986,0.30267365593284473,0.24964002195475904,0.5147184683504108,0.2826149479586797,0,0.0,0,0.0,3,0.015306122448979591,0,0.0,0.6316813930973291,2237528111637
987,0.18979780546667396,0.24964002195475904,0.23275915546271245,0.2801998793756174,0,0.0,0,0.0,3,0.015228426395939087,1,0.005076142131979695,0.0004197644072101746,2237278469401
988,0.30267365593284473,0.43829539512437504,0.22755542366731674,0.2193550702039471,0,0.0,0,0.0,1,0.005952380952380952,0,0.0,0.6891415129299272,2237546806711
989,0.30267365593284473,0.24964002195475904,0.14153449503759058,0.2560321941508122,0,0.0,0,0.0,2,0.01,1,0.005,0.022612405356652786,2237547155770
990,0.4640904493451581,0.2739754704793519,0.012293717791138262,0.2743599672269224,0,0.0,0,0.0,2,0.013333333333333334,0,0.0,6.122729435753628e-06,2237546870235
991,0.30267365593284473,0.14782191066580874,0.2329597560443619,0.2735457725731906,0,0.0,0,0.0,1,0.005681818181818182,0,0.0,0.11295564402634445,2237547855658
992,0.2717365314406325,0.24964002195475904,0.16797300532424178,0.3158431666138084,0,0.0,0,0.0,2,0.010638297872340424,1,0.0053191489361702135,0.3535965760316653,2237549132902
993,0.30267365593284473,0.24964002195475904,0.1764586412781068,0.2546956207676945,0,0.0,0,0.0,2,0.010101010101010102,0,0.0,0.1118571992350652,2237548866230
994,0.3593243132838657,0.24964002195475904,0.43769993859728507,0.2809103356268301,0,0.0,0,0.0,0,0.0,0,0.0,0.018299777353981233,2237549042386
995,0.2951646824051941,0.21672128538095944,0.15642069326414093,0.2227563926840156,0,0.0,0,0.0,2,0.012269938650306749,1,0.006134969325153374,0.02466402496865893,2237548990802
996,0.2950414683853901,0.24964002195475904,0.19057988219681046,0.2546956207676945,0,0.0,0,0.0,2,0.01212121212121212,0,0.0,0.12291063239429127,2237550644236
997,0.30267365593284473,0.2278653312340664,0.3936721900399221,0.2809103356268301,0,0.0,0,0.0,1,0.005494505494505495,1,0.005494505494505495,0.3472902118841406,2237550803362
998,0.11395388215599585,0.24964002195475904,0.08689595696790434,0.26539836770389136,0,0.0,0,0.0,1,0.007092198581560284,1,0.007092198581560284,7.1536793043774e-06,2237553804616
999,0.30267365593284473,0.24964002195475904,0.22926638460831125,0.3040257067331659,0,0.0,0,0.0,2,0.0111731843575419,1,0.00558659217877095,0.02639583400053156,2237554425348
1000,0.30267365593284473,0.24964002195475904,0.4306731566374792,0.2809103356268301,0,0.0,0,0.0,1,0.006329113924050633,1,0.006329113924050633,0.07717937897247686,2237554481761
1001,0.26041623816913484,0.24964002195475904,0.4364958301735205,0.3158431666138084,0,0.0,0,0.0,1,0.005494505494505495,0,0.0,0.8312262366663258,2237555202402
1002,0.30267365593284473,0.24964002195475904,0.26359772586640323,0.2719284723322129,0,0.0,0,0.0,1,0.0028653295128939827,0,0.0,0.9549065062196028,2237469415845
1003,0.30267365593284473,0.24964002195475904,0.13128430021512474,0.2375043653981055,0,0.0,0,0.0,4,0.010638297872340424,0,0.0,0.003072187765281373,2237531432940
1004,0.14320258745425252,0.19333014172468926,0.5219162865458626,0.1869226489908084,0,0.0,0,0.0,2,0.018018018018018014,0,0.0,0.15775223519806394,2237525626192
1005,0.21605076270852788,0.24964002195475904,0.16022371604120747,0.2596609139092494,0,0.0,0,0.0,2,0.010050251256281407,0,0.0,3.7975162586600224e-05,2237557104366
1006,0.30267365593284473,0.24964002195475904,0.3932639630750533,0.2735457725731906,0,0.0,0,0.0,1,0.0047169811320754715,0,0.0,0.017699761761846487,2233480978295
1007,0.30267365593284473,0.24964002195475904,0.2752232844026503,0.2591830489364558,0,0.0,0,0.0,1,0.005235602094240838,0,0.0,0.027600961445158327,2237560660646
1008,0.06695532845415908,0.5055163214133186,0.07470386274899253,0.2643842201547375,0,0.0,0,0.0,2,0.006349206349206349,0,0.0,2.510204437883178e-06,2237560878503
1009,0.30267365593284473,0.07779500147724991,0.34744490064880706,0.3783643428504731,0,0.0,0,0.0,2,0.012345679012345678,0,0.0,0.00230207000755622,2237562237634
1010,0.30267365593284473,0.24964002195475904,0.20941486908971807,0.24778150742647875,0,0.0,0,0.0,2,0.011976047904191616,0,0.0,0.013011615420630243,2237566157595
1011,0.30267365593284473,0.3274892198903077,0.3933724441099121,0.2809103356268301,0,0.0,0,0.0,1,0.0064516129032258064,0,0.0,0.5523241871299334,2237565941988
1012,0.27095826875320905,0.24964002195475904,0.2255594524869735,0.2809103356268301,0,0.0,0,0.0,2,0.01492537313432836,0,0.0,0.15172069729417426,2237531737138
1013,0.27539918724973445,0.24964002195475904,0.3291397914322816,0.19807065040828264,0,0.0,0,0.0,1,0.005617977528089888,0,0.0,0.0014069274851349653,2237580918513
