,white_tfidf,bad_tfidf,dept_tfidf,tools_tfidf,white_cate_app_num,white_cate/all,bad_cate_app_num,bad_cate/all,dept_cate_app_num,dept_cate/all,tools_cate_app_num,tools_cate/all,origin_tfidf
1874,0.30267365593284473,0.23616266784534132,0.5036246608827577,0.25469562076769453,0,0.0,0,0.0,2,0.0136986301369863,0,0.0,0.904132881882075
1875,0.20295579204961145,0.24964002195475904,0.08887376448563357,0.24168819635564803,0,0.0,0,0.0,4,0.018518518518518517,0,0.0,0.0036087860105689586
1876,0.30267365593284473,0.3077142495392995,0.18802864807203465,0.3158431666138084,0,0.0,0,0.0,2,0.011764705882352941,0,0.0,0.0058110057923025215
1877,0.26428694406710423,0.24964002195475904,0.039298488136360735,0.25469562076769453,0,0.0,0,0.0,1,0.0049504950495049506,1,0.0049504950495049506,0.003012829321155737
1878,0.36200097158129574,0.24964002195475904,0.2984055532120876,0.2699335119389719,0,0.0,0,0.0,2,0.010638297872340425,0,0.0,0.0666546501526635
1879,0.1347877791844082,0.24964002195475904,0.09885552571383091,0.24014780165552554,0,0.0,0,0.0,5,0.013927576601671309,0,0.0,0.005395486841192334
1880,0.23893104975413534,0.4076561009188304,0.3434577341834102,0.2801998793756174,0,0.0,0,0.0,1,0.006666666666666667,0,0.0,0.13649075085968
1881,0.22227415563157105,0.24964002195475904,0.20824930278343948,0.16800312558751687,0,0.0,0,0.0,3,0.021739130434782608,0,0.0,0.2872639155599436
1882,0.057499062857115056,0.24964002195475904,0.27432043922009774,0.2180451834661168,0,0.0,0,0.0,4,0.018518518518518517,0,0.0,0.002885309174407264
1883,0.2786085647095192,0.37849214373721524,0.23002767082150344,0.30177912952840874,0,0.0,0,0.0,2,0.005571030640668524,0,0.0,0.38325949513221613
1884,0.30267365593284473,0.24964002195475904,0.1850691341869531,0.29616469870860196,0,0.0,0,0.0,1,0.006134969325153374,0,0.0,0.0902421058694388
1885,0.37843708211776156,0.24964002195475904,0.271342123414541,0.2876726473165507,0,0.0,0,0.0,0,0.0,0,0.0,0.0324641072087357
1886,0.38353182381017953,0.2596967895690906,0.46072931392865885,0.24563056715111847,0,0.0,0,0.0,3,0.015463917525773196,0,0.0,0.011519606464202891
1887,0.25669346737082865,0.10595350857105536,0.33330636589499624,0.3158431666138084,0,0.0,0,0.0,2,0.013245033112582781,0,0.0,0.7884907238016354
1888,0.2789835807632611,0.24964002195475904,0.1655052723084425,0.258294402676611,0,0.0,0,0.0,3,0.018867924528301886,1,0.006289308176100629,6.047638038874351e-05
1889,0.24881203718294703,0.29828859704152355,0.27021180067910655,0.22486661987069068,0,0.0,0,0.0,5,0.021929824561403508,0,0.0,1.0445898632895795e-05
1890,0.24856645029009647,0.5427722315816009,0.6100696262000452,0.3167946482017126,0,0.0,0,0.0,4,0.01694915254237288,1,0.00423728813559322,0.008825898109283171
1891,0.35945654669042426,0.24964002195475904,0.21951868382800915,0.2477248201450945,0,0.0,0,0.0,2,0.011299435028248588,0,0.0,0.18102457242597456
1892,0.23411496691210038,0.24964002195475904,0.2774651014828565,0.24778150742647873,0,0.0,0,0.0,0,0.0,0,0.0,0.25400652172148064
1893,0.30267365593284473,0.24964002195475904,0.43713056267949235,0.3158431666138084,0,0.0,0,0.0,2,0.011111111111111112,0,0.0,0.9886703856353416
1894,0.1800205535235396,0.24964002195475904,0.22322209567037515,0.24434891157849392,0,0.0,0,0.0,1,0.005847953216374269,1,0.005847953216374269,3.0558198490624254e-05
1895,0.25988867064163373,0.24964002195475904,0.3079968193118036,0.28091033562683015,0,0.0,0,0.0,26,0.1319796954314721,1,0.005076142131979695,7.554816981965191e-05
1896,0.30267365593284473,0.24964002195475904,0.1720313574492321,0.2168069980669012,0,0.0,0,0.0,2,0.013888888888888888,0,0.0,0.9737237153823213
1897,0.35578992040986884,0.24188513939621048,0.4639487961949952,0.26539836770389136,0,0.0,0,0.0,2,0.023809523809523808,0,0.0,0.5847266084951066
1898,0.30267365593284473,0.24964002195475904,0.2632157594962472,0.30795498610896765,0,0.0,0,0.0,3,0.017341040462427744,0,0.0,0.05492768401418558
1899,0.30267365593284473,0.24964002195475904,0.3313349605402112,0.25551838749883293,0,0.0,0,0.0,3,0.017857142857142856,0,0.0,0.5199981618956777
1900,0.2260907679751918,0.2698463569534987,0.11912396200060592,0.2876726473165507,0,0.0,0,0.0,1,0.006024096385542169,0,0.0,6.223460521394178e-05
1901,0.2551572925490106,0.24964002195475904,0.20959128774003383,0.25469562076769453,0,0.0,0,0.0,1,0.011235955056179775,0,0.0,0.42970326499614997
1902,0.30267365593284473,0.32748921989030766,0.1405329425153279,0.28091033562683015,0,0.0,0,0.0,1,0.006060606060606061,1,0.006060606060606061,0.03410955960708474
1903,0.28844616974977944,0.24964002195475904,0.11083764488912255,0.2336253720911637,0,0.0,0,0.0,2,0.009478672985781991,0,0.0,0.00030933977639213613
1904,0.19196741417701801,0.4750270952725225,0.2724284732879976,0.28091033562683015,0,0.0,0,0.0,0,0.0,0,0.0,0.36143014497825815
1905,0.30267365593284473,0.2674025341137281,0.09227976035320191,0.26673674947871145,0,0.0,0,0.0,2,0.009950248756218905,1,0.004975124378109453,0.0004231803145005713
1906,0.30267365593284473,0.2468920634966753,0.22676308381144983,0.2719284723322129,0,0.0,0,0.0,0,0.0,0,0.0,6.76209966811397e-05
1907,0.09804380262165721,0.3077142495392995,0.05207480954784223,0.4892354502732495,0,0.0,0,0.0,2,0.01092896174863388,0,0.0,0.3425930684539544
1908,0.30267365593284473,0.24964002195475904,0.4747129539746465,0.262573031535629,0,0.0,0,0.0,3,0.01818181818181818,0,0.0,0.014832952210860355
1909,0.30267365593284473,0.23616266784534132,0.1277354706306908,0.2699335119389719,0,0.0,0,0.0,1,0.006172839506172839,0,0.0,0.05040124439013013
1910,0.2165498483549609,0.24964002195475904,0.2575146332948153,0.25469562076769453,0,0.0,0,0.0,1,0.006329113924050633,1,0.006329113924050633,7.741010089407113e-05
1911,0.30267365593284473,0.24964002195475904,0.23692830633151138,0.24778150742647873,0,0.0,0,0.0,3,0.016304347826086956,0,0.0,0.2193958536179793
1912,0.30267365593284473,0.24964002195475904,0.21482764902814513,0.2321629895319283,0,0.0,0,0.0,3,0.016853932584269662,0,0.0,0.14612468898924455
