,app_nums,overdue_nums,app_nums/overdue_nums
cn.baidaibao,2,2,1.0
cn.baifuwallet,1,1,1.0
cn.bangbeipay,1,0,0.0
cn.banshenggua.aichang,4,0,0.0
cn.bbmoney,1,0,0.0
cn.bczp.activity,1,0,0.0
cn.beekee.zhongtong,1,0,0.0
cn.bevol.p,2,0,0.0
cn.bh.hzhh,2,0,0.0
cn.bianjieshidai,7,5,0.7142857142857143
cn.bluemobi.wendu,1,1,1.0
cn.bmkp.app,1,1,1.0
cn.boccfc.loan.wallet,127,32,0.25196850393700787
cn.bolz.mobilebank.liuzhou,1,0,0.0
cn.bookse.BaoHuang.vivo,1,1,1.0
cn.buding.martin,10,2,0.2
cn.caiyu.app.assistant,1,0,0.0
cn.caocaokeji.user,13,2,0.15384615384615385
cn.carrefour.app.mobile,1,0,0.0
cn.cash365.android,11,3,0.2727272727272727
cn.cashfree.dkl,1,0,0.0
cn.cashfree.loan,6,1,0.16666666666666666
cn.cashfree.xianjindai,2,2,1.0
cn.cellapp.jinfanyici,1,0,0.0
cn.chinabus.main,1,0,0.0
cn.chinahrms.insurance.affair,1,1,1.0
cn.cisc,1,1,1.0
cn.cj.pe,28,7,0.25
cn.cntv,17,5,0.29411764705882354
cn.cntv.zongyichunwan,1,0,0.0
cn.code.notes,1,0,0.0
cn.colorv,7,0,0.0
cn.com.aijialicai,1,1,1.0
cn.com.bailian.bailianmobile,1,0,0.0
cn.com.benclients,1,1,1.0
cn.com.bhbc.mobilebank.per,1,0,0.0
cn.com.bluemoon.delivery,1,0,0.0
cn.com.bluemoon.sfa,1,0,0.0
cn.com.bmac.nfc,1,0,0.0
cn.com.bsb.db.BSDigitalBank,1,0,0.0
cn.com.bsb.mbank,7,1,0.14285714285714285
cn.com.busteanew,1,0,0.0
cn.com.changan.cc,1,0,0.0
cn.com.chinastock.jl,1,0,0.0
cn.com.cmbc.dbank,3,1,0.3333333333333333
cn.com.cmbc.mbank.cc,11,1,0.09090909090909091
cn.com.cmbc.mbank.ep,1,0,0.0
cn.com.cmbc.newmbank,89,20,0.2247191011235955
cn.com.concept,1,0,0.0
cn.com.concept.first,1,0,0.0
cn.com.crc.mlearning,1,0,0.0
cn.com.csbank,3,0,0.0
cn.com.ctbri.pptoc,1,0,0.0
cn.com.dareway.mhsc,1,0,0.0
cn.com.dareway.mhsc_dongying,1,1,1.0
cn.com.easyman.lsdqt,1,0,0.0
cn.com.edu_edu.gk_qg,1,0,0.0
cn.com.enlivenball,1,0,0.0
cn.com.ethank.mobilehotel,1,1,1.0
cn.com.fashionlake.runbeard,1,0,0.0
cn.com.fdbank.ui,1,0,0.0
cn.com.gdbank.direct,5,2,0.4
cn.com.gf.zzkh,2,0,0.0
cn.com.gome.meixin,1,1,1.0
cn.com.gridinfo.sooc,1,0,0.0
cn.com.gzbank.mbank,11,4,0.36363636363636365
cn.com.gzbank.ui,2,2,1.0
cn.com.hkgt.gasapp,4,1,0.25
cn.com.hnisi.dgsssb,1,1,1.0
cn.com.hsbank,2,0,0.0
cn.com.hsbc.hsbcchina,2,0,0.0
cn.com.htjc.pay,4,2,0.5
cn.com.huishangbank.mbank,1,0,0.0
cn.com.hzb.mobilebank.per,1,0,0.0
cn.com.kuaishua,15,6,0.4
cn.com.kypj.ZJRYX20171115,1,0,0.0
cn.com.lawchat.android.forpublic,1,0,0.0
cn.com.lawson,1,0,0.0
cn.com.lzb.mobilebank.per,1,1,1.0
cn.com.magicwifi,4,0,0.0
cn.com.microtrust.rpagent,1,0,0.0
cn.com.nccbank.dbank,1,1,1.0
cn.com.nccbank.mbank,1,1,1.0
cn.com.ngds.gamestore,1,0,0.0
cn.com.njcb.android.mobilebank,2,0,0.0
cn.com.opda.android.clearmaster,1,1,1.0
cn.com.open.mooc,1,0,0.0
cn.com.pcdriver.android.browser,2,0,0.0
cn.com.pconline.android.browser,1,0,0.0
cn.com.qyfy.app,1,0,0.0
cn.com.sec.Paperfun.common,2,0,0.0
cn.com.sec.Paperfun.common.appicon,1,0,0.0
cn.com.sec.Paperfun.common.home,1,0,0.0
cn.com.sec.Paperfun.common.wallpaper,1,0,0.0
cn.com.shbank.mper,25,4,0.16
cn.com.shopec.uj.app,1,0,0.0
cn.com.sina.finance.cocktail,1,0,0.0
cn.com.sina.sports,3,0,0.0
cn.com.siyuan.v2,1,0,0.0
cn.com.spdb.mobilebank.co,3,1,0.3333333333333333
cn.com.spdb.mobilebank.per,124,22,0.1774193548387097
cn.com.tiros.android.navidog,2,1,0.5
cn.com.tiros.android.navidog4x,1,1,1.0
cn.com.untech.siyang.loan,1,1,1.0
cn.com.wanyueliang.tomato,6,2,0.3333333333333333
cn.com.wdbank,1,0,0.0
cn.com.wealth365.licai,1,0,0.0
cn.com.weshare.android.shandiandai,8,1,0.125
cn.com.weshare.jiekuan,256,67,0.26171875
cn.com.wiisoft.tutule,2,0,0.0
cn.com.xishanju.qyq,1,0,0.0
cn.com.xjbank.ui,2,0,0.0
cn.com.xmrc.talent,1,0,0.0
cn.com.zte.yp,1,0,0.0
cn.com.zyb.directbank,1,0,0.0
cn.coolplay.riding,1,0,0.0
cn.coolyou.liveplus,3,1,0.3333333333333333
cn.cqxunjing.wdxm,1,1,1.0
cn.ctvonline.android,1,0,0.0
cn.damai,1,0,0.0
cn.danatech.xingseapp,2,1,0.5
cn.dayread.android,1,0,0.0
cn.defujc.living,1,0,0.0
cn.dictcn.android.digitize.hdlg_cqdyj5k_12004,1,0,0.0
cn.dictcn.android.digitize.sw_gjxhdzd_10010,1,1,1.0
cn.dictcn.android.digitize.swg_xhzd_21003,6,1,0.16666666666666666
cn.dooone.wifihelper_cn,1,1,1.0
cn.douyuu.redpackage,1,0,0.0
cn.duozhuan.dj,3,0,0.0
cn.dxy.android.aspirin,3,0,0.0
cn.dxy.medicinehelper,1,1,1.0
cn.easyar.sightplus,1,1,1.0
cn.eclicks.chelun,3,2,0.6666666666666666
cn.eclicks.drivingtest,13,3,0.23076923076923078
cn.eclicks.wzsearch,61,15,0.2459016393442623
cn.ecook.babyfood,1,1,1.0
cn.ecook.jiachangcai,1,0,0.0
cn.ecookthree,1,0,0.0
cn.edaijia.android.client,2,0,0.0
cn.edu.hust.jwtapp,1,0,0.0
cn.edusign.chongqingunion,1,0,0.0
cn.eeepay.superrepay.daidairepay,6,1,0.16666666666666666
cn.eeepay.superrepay.oem.anxinrepay,1,0,0.0
cn.eeepay.superrepay.oem.changrepay,1,0,0.0
cn.eeepay.superrepay.oem.daydayrepay,1,0,0.0
cn.eeepay.superrepay.oem.kuaimaburse,1,0,0.0
cn.eeepay.superrepay.oem.qcrepaycard,1,0,0.0
cn.eeepay.superrepay.oem.shandian,1,0,0.0
cn.eeepay.superrepay.oem.yunkadoctor,1,0,0.0
cn.emagsoftware.gamehall,4,2,0.5
cn.emoney.hy.fresh,1,0,0.0
cn.enclavemedia.app,1,0,0.0
